,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
202,Singapore,SG,,,,1.35,103.82,50520,recovered,2020-08-12T00:00:00Z
203,Singapore,SG,,,,1.35,103.82,50736,recovered,2020-08-13T00:00:00Z
204,Singapore,SG,,,,1.35,103.82,51049,recovered,2020-08-14T00:00:00Z
205,Singapore,SG,,,,1.35,103.82,51521,recovered,2020-08-15T00:00:00Z
206,Singapore,SG,,,,1.35,103.82,51953,recovered,2020-08-16T00:00:00Z
207,Singapore,SG,,,,1.35,103.82,52350,recovered,2020-08-17T00:00:00Z
208,Singapore,SG,,,,1.35,103.82,52533,recovered,2020-08-18T00:00:00Z
209,Singapore,SG,,,,1.35,103.82,52810,recovered,2020-08-19T00:00:00Z
210,Singapore,SG,,,,1.35,103.82,53119,recovered,2020-08-20T00:00:00Z
211,Singapore,SG,,,,1.35,103.82,53651,recovered,2020-08-21T00:00:00Z
212,Singapore,SG,,,,1.35,103.82,53920,recovered,2020-08-22T00:00:00Z
213,Singapore,SG,,,,1.35,103.82,54164,recovered,2020-08-23T00:00:00Z
214,Singapore,SG,,,,1.35,103.82,54587,recovered,2020-08-24T00:00:00Z
215,Singapore,SG,,,,1.35,103.82,54816,recovered,2020-08-25T00:00:00Z
216,Singapore,SG,,,,1.35,103.82,54971,recovered,2020-08-26T00:00:00Z
217,Singapore,SG,,,,1.35,103.82,55139,recovered,2020-08-27T00:00:00Z
218,Singapore,SG,,,,1.35,103.82,55337,recovered,2020-08-28T00:00:00Z
219,Singapore,SG,,,,1.35,103.82,55447,recovered,2020-08-29T00:00:00Z
220,Singapore,SG,,,,1.35,103.82,55586,recovered,2020-08-30T00:00:00Z
221,Singapore,SG,,,,1.35,103.82,55658,recovered,2020-08-31T00:00:00Z
222,Singapore,SG,,,,1.35,103.82,55749,recovered,2020-09-01T00:00:00Z
223,Singapore,SG,,,,1.35,103.82,55891,recovered,2020-09-02T00:00:00Z
224,Singapore,SG,,,,1.35,103.82,56028,recovered,2020-09-03T00:00:00Z
225,Singapore,SG,,,,1.35,103.82,56174,recovered,2020-09-04T00:00:00Z
226,Singapore,SG,,,,1.35,103.82,56267,recovered,2020-09-05T00:00:00Z
227,Singapore,SG,,,,1.35,103.82,56333,recovered,2020-09-06T00:00:00Z
228,Singapore,SG,,,,1.35,103.82,56408,recovered,2020-09-07T00:00:00Z
